Ivan Ivanov;ivanov@hse.ru;5;6
Petr Petrov;petrov@hse.ru;8;10
Maria Kuznetsova;kuznetsova@hse.ru;7;8
Tatyana Smirnova;smirnova@hse.ru;3;9
Kamil Akhemetov;akhmetov@hse.ru;8;6
Sofya Sonina;sonina@hse.ru;10;10
Andrey Andreev;andreev@hse.ru;2;4
Alina Khismatullina;khismatullina@hse.ru;3;3
Semen Semenov;semenov@hse.ru;5;8
Makar Makarov;makarov@hse.ru;9;6
Vasilisa Vasileva;vasilieva@hse.ru;5;7
Korney Korneev;korneev@hse.ru;4;1
Timofei Timofeev;timofeev@hse.ru;8;9
Ekaterina Katina;katina@hse.ru;5;4
Elena Lenina;lenina@hse.ru;6;6
